problem,expected_answer,category
3(2x - 5) + 4 = 2(x + 7),x = 25/4,nested_linear
5 - 2(3x - 4) = 3(x + 1),x = 10/9,nested_linear
(x - 2)/3 + (x + 1)/4 = 5,x = 65/7,multiple_fractions
(2x + 3)/5 - (x - 1)/2 = 4,x = -29,multiple_fractions
2 - (3 - (x - 4)) = 10,x = 15,nested_parentheses
7(x - 2) - 3(x + 5) = 2(x - 9),x = 11/2,both_sides
4(2x + 1) - 3 = 5(x - 2) + 18,x = 7/3,both_sides
3(x/2 - 4) + 5 = x + 2,x = 18,fraction_nested
2(x - 3)/5 + (x + 4)/3 = 7,x = 103/11,multiple_fractions
9 - 2(4 - 3x) = 5x + 7,x = 6,negative_distribution
6(x + 1) - 2(2x - 5) = 3(x + 4),x = 4,multi_distribution
10 - (2x - (3 - x)) = 1,x = 4,nested_parentheses
3(2(x - 1) + 5) = 27,x = 3,nested_distribution
(x + 2)/3 - (2x - 1)/7 = 4,x = 67,multiple_fractions
(x + 1)/(x - 2) = 2,x = 5,rational_equation
(x - 7)^2 = 0,x = 7,repeated_root
x^2 - 10x + 25 = 0,x = 5,repeated_root
x^3 = 27,x = 3,cubic
