original,proposed,has_error,error_type,expected_repair,expected_answer,expected_action
2(x + 3) = 14,2x + 3 = 14,true,algebraic_transformation_error,2x + 6 = 14,x = 4,REFORMALIZE
3(x + 2) = 15,3x + 2 = 15,true,algebraic_transformation_error,3x + 6 = 15,x = 3,REFORMALIZE
4(x - 1) = 20,4x - 1 = 20,true,algebraic_transformation_error,4x - 4 = 20,x = 6,REFORMALIZE
5(x + 1) = 30,5x + 5 = 30,false,,5x + 5 = 30,x = 5,CONTINUE
2x + 4 = 10,2x = 6,false,,2x + 4 = 10,x = 3,CONTINUE
x/2 + 3 = 7,x/2 = 4,false,,x/2 + 3 = 7,x = 8,CONTINUE
3x - 6 = 9,3x = 3,true,sign_error,x = 5,x = 5,BACKTRACK
7 + 5 = 12,7 + 5 = 13,true,arithmetic_error,7 + 5 = 12,true,TOOL_EXECUTE
9 - 4 = 5,9 - 4 = 5,false,,9 - 4 = 5,true,CONTINUE
6 * 3 = 18,6 * 3 = 17,true,arithmetic_error,6 * 3 = 18,true,TOOL_EXECUTE
x - 5 = 2,x = -3,true,sign_error,x = 7,x = 7,BACKTRACK
x + 4 = 1,x = 3,true,sign_error,x = -3,x = -3,BACKTRACK
-2x = 8,x = 4,true,sign_error,x = -4,x = -4,BACKTRACK
