problem,expected_answer,category
17(3x - 11) - 5(2x + 7) = 4(7x - 13) + 19,x = 189/13,large_coefficients
11(5x + 9) - 7(3x - 8) = 2(9x + 1) - 13,x = -83/8,large_coefficients
(3x - 7)/(x + 2) = 5,x = -17/2,rational_equation
(5x + 11)/(2x - 3) = -4,x = 1/13,rational_equation
13 - (4 - (3 - (2 - x))) = 29,x = 19,nested_subtraction
7(2(3x - 5) + 4) - 5(x + 9) = 96,x = 183/37,nested_distribution
(2x - 5)/7 + (3x + 8)/11 = 19,x = 34,large_fractions
(5x - 3)/13 - (2x + 7)/17 = 4,x = 1026/59,large_fractions
(x - 9)^3 = 0,x = 9,repeated_cubic_root
x^3 + 6x^2 + 12x + 8 = 0,x = -2,cubic_factorization
9(x - 4)^2 = 0,x = 4,repeated_quadratic_root
(2x + 1)^3 = 125,x = 2,cubic_transformation
