original,proposed,has_error,error_type,expected_repair,expected_answer,expected_action
5(x + 6) = 40,5x + 6 = 40,true,algebraic_transformation_error,5x + 30 = 40,x = 2,REFORMALIZE
4x + 3 = 47,x = 11,false,,4x + 3 = 47,x = 11,CONTINUE
15 + 3 = 18,15 + 3 = 19,true,arithmetic_error,15 + 3 = 18,true,TOOL_EXECUTE
7(x + 10) = 98,7x + 10 = 98,true,algebraic_transformation_error,7x + 70 = 98,x = 4,REFORMALIZE
8(x + 2) = 88,8x + 2 = 88,true,algebraic_transformation_error,8x + 16 = 88,x = 9,REFORMALIZE
25 + 25 = 50,25 + 25 = 52,true,arithmetic_error,25 + 25 = 50,true,TOOL_EXECUTE
7(x + 5) = 56,7x + 5 = 56,true,algebraic_transformation_error,7x + 35 = 56,x = 3,REFORMALIZE
26 + 42 = 68,26 + 42 = 70,true,arithmetic_error,26 + 42 = 68,true,TOOL_EXECUTE
5x + 3 = 33,x = 6,false,,5x + 3 = 33,x = 6,CONTINUE
x - 15 = 2,x = -13,true,sign_error,x = 17,x = 17,BACKTRACK
50 + 42 = 92,50 + 42 = 93,true,arithmetic_error,50 + 42 = 92,true,TOOL_EXECUTE
x - 12 = 3,x = -9,true,sign_error,x = 15,x = 15,BACKTRACK
3(x + 1) = 36,3x + 1 = 36,true,algebraic_transformation_error,3x + 3 = 36,x = 11,REFORMALIZE
4x + 8 = 12,x = 1,false,,4x + 8 = 12,x = 1,CONTINUE
x - 5 = 3,x = -2,true,sign_error,x = 8,x = 8,BACKTRACK
8x + 11 = 99,x = 11,false,,8x + 11 = 99,x = 11,CONTINUE
9x + 2 = 119,x = 13,false,,9x + 2 = 119,x = 13,CONTINUE
x - 5 = 13,x = 8,true,sign_error,x = 18,x = 18,BACKTRACK
6(x + 4) = 48,6x + 4 = 48,true,algebraic_transformation_error,6x + 24 = 48,x = 4,REFORMALIZE
x - 6 = 15,x = 9,true,sign_error,x = 21,x = 21,BACKTRACK
6 + 49 = 55,6 + 49 = 53,true,arithmetic_error,6 + 49 = 55,true,TOOL_EXECUTE
x - 8 = 5,x = -3,true,sign_error,x = 13,x = 13,BACKTRACK
5x + 12 = 37,x = 5,false,,5x + 12 = 37,x = 5,CONTINUE
2x + 4 = 34,x = 15,false,,2x + 4 = 34,x = 15,CONTINUE
44 + 21 = 65,44 + 21 = 63,true,arithmetic_error,44 + 21 = 65,true,TOOL_EXECUTE
44 + 35 = 79,44 + 35 = 80,true,arithmetic_error,44 + 35 = 79,true,TOOL_EXECUTE
5(x + 4) = 65,5x + 4 = 65,true,algebraic_transformation_error,5x + 20 = 65,x = 9,REFORMALIZE
8 + 19 = 27,8 + 19 = 29,true,arithmetic_error,8 + 19 = 27,true,TOOL_EXECUTE
2x + 10 = 22,x = 6,false,,2x + 10 = 22,x = 6,CONTINUE
6(x + 1) = 78,6x + 1 = 78,true,algebraic_transformation_error,6x + 6 = 78,x = 12,REFORMALIZE
